date,description,amount,type
2026-01-02,ACME Technologies Pvt Ltd Salary,85000,CREDIT
2026-01-03,Netflix.com,649,DEBIT
2026-01-04,Amazon India,2499,DEBIT
2026-01-05,Swiggy,486,DEBIT
2026-01-06,Uber India,382,DEBIT
2026-01-07,Reliance Fresh,1850,DEBIT
2026-01-08,Electricity Bill MSEDCL,2340,DEBIT
2026-01-10,Google One,130,DEBIT
2026-01-11,Zomato,724,DEBIT
2026-01-12,ICICI Prudential Insurance Premium,3200,DEBIT
2026-01-14,Amazon India,1899,DEBIT
2026-01-15,Uber India,460,DEBIT
2026-01-17,Swiggy,552,DEBIT
2026-01-18,DMart,3245,DEBIT
2026-01-20,PhonePe Recharge,799,DEBIT
2026-01-22,Netflix.com,649,DEBIT
2026-01-23,Amazon India,4599,DEBIT
2026-01-24,Uber India,325,DEBIT
2026-01-25,Zomato,890,DEBIT
2026-01-27,ATM Cash Withdrawal,10000,DEBIT
2026-01-29,Swiggy,645,DEBIT
2026-01-30,Monthly SIP Mutual Fund,10000,DEBIT
2026-01-31,ACME Technologies Pvt Ltd Salary Advance,10000,CREDIT
2026-02-02,ACME Technologies Pvt Ltd Salary,85000,CREDIT
2026-02-03,Netflix.com,649,DEBIT
2026-02-04,Amazon India,2199,DEBIT
2026-02-05,Swiggy,620,DEBIT
2026-02-06,Uber India,415,DEBIT
2026-02-07,Reliance Fresh,2260,DEBIT
2026-02-08,Electricity Bill MSEDCL,2410,DEBIT
2026-02-10,Google One,130,DEBIT
2026-02-11,Zomato,785,DEBIT
2026-02-12,ICICI Prudential Insurance Premium,3200,DEBIT
2026-02-14,Amazon India,1799,DEBIT
2026-02-15,Uber India,510,DEBIT
2026-02-17,Swiggy,730,DEBIT
2026-02-18,DMart,3550,DEBIT
2026-02-20,PhonePe Recharge,799,DEBIT
2026-02-22,Netflix.com,649,DEBIT
2026-02-23,Amazon India,5899,DEBIT
2026-02-24,Uber India,390,DEBIT
2026-02-25,Zomato,940,DEBIT
2026-02-27,Swiggy,580,DEBIT
2026-02-28,Monthly SIP Mutual Fund,10000,DEBIT
2026-03-02,ACME Technologies Pvt Ltd Salary,85000,CREDIT
2026-03-03,Netflix.com,649,DEBIT
2026-03-04,Amazon India,3299,DEBIT
2026-03-05,Swiggy,710,DEBIT
2026-03-06,Uber India,445,DEBIT
2026-03-07,Reliance Fresh,2490,DEBIT
2026-03-08,Electricity Bill MSEDCL,2380,DEBIT
2026-03-10,Google One,130,DEBIT
2026-03-11,Zomato,680,DEBIT
2026-03-12,ICICI Prudential Insurance Premium,3200,DEBIT
2026-03-14,Amazon India,2499,DEBIT
2026-03-15,Uber India,520,DEBIT
2026-03-17,Swiggy,840,DEBIT
2026-03-18,DMart,3890,DEBIT
2026-03-20,PhonePe Recharge,799,DEBIT
2026-03-21,Hotel Taj Mumbai,18500,DEBIT
2026-03-22,Netflix.com,649,DEBIT
2026-03-23,Amazon India,7599,DEBIT
2026-03-24,Uber India,430,DEBIT
2026-03-25,Zomato,1120,DEBIT
2026-03-27,Swiggy,690,DEBIT
2026-03-28,ATM Cash Withdrawal,25000,DEBIT
2026-03-30,Monthly SIP Mutual Fund,10000,DEBIT
2026-04-02,ACME Technologies Pvt Ltd Salary,85000,CREDIT
2026-04-03,Netflix.com,649,DEBIT
2026-04-04,Amazon India,1999,DEBIT
2026-04-05,Swiggy,540,DEBIT
2026-04-06,Uber India,380,DEBIT
2026-04-07,Reliance Fresh,2180,DEBIT
2026-04-08,Electricity Bill MSEDCL,2450,DEBIT
2026-04-10,Google One,130,DEBIT
2026-04-11,Zomato,760,DEBIT
2026-04-12,ICICI Prudential Insurance Premium,3200,DEBIT
2026-04-14,Amazon India,2399,DEBIT
2026-04-15,Uber India,410,DEBIT
2026-04-17,Swiggy,620,DEBIT
2026-04-18,DMart,3410,DEBIT
2026-04-20,PhonePe Recharge,799,DEBIT
2026-04-22,Netflix.com,649,DEBIT
2026-04-23,Amazon India,2699,DEBIT
2026-04-24,Uber India,350,DEBIT
2026-04-25,Zomato,920,DEBIT
2026-04-27,Swiggy,580,DEBIT
2026-04-30,Monthly SIP Mutual Fund,10000,DEBIT
2026-05-02,ACME Technologies Pvt Ltd Salary,85000,CREDIT
